ubigeo,departamento,provincia,distrito,region_natural
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SELVA
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,SELVA
10103,AMAZONAS,CHACHAPOYAS,BALSAS,SIERRA
10104,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SIERRA
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SIERRA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,SELVA
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,SIERRA
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,SELVA
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SELVA
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SELVA
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SELVA
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,SELVA
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SELVA
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SELVA
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SELVA
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,SELVA
10121,AMAZONAS,CHACHAPOYAS,SONCHE,SELVA
10201,AMAZONAS,BAGUA,BAGUA,SELVA
10201,AMAZONAS,BAGUA,BAGUA ,SELVA
10202,AMAZONAS,BAGUA,ARAMANGO,SELVA
10203,AMAZONAS,BAGUA,COPALLIN,SELVA
10204,AMAZONAS,BAGUA,EL PARCO,SELVA
10205,AMAZONAS,BAGUA,IMAZA,SELVA
10206,AMAZONAS,BAGUA,LA PECA ,SELVA
10206,AMAZONAS,BAGUA,LA PECA,SELVA
10301,AMAZONAS,BONGARA,JUMBILLA,SELVA
10302,AMAZONAS,BONGARA,CHISQUILLA,SELVA
10303,AMAZONAS,BONGARA,CHURUJA,SELVA
10304,AMAZONAS,BONGARA,COROSHA,SELVA
10305,AMAZONAS,BONGARA,CUISPES,SELVA
10306,AMAZONAS,BONGARA,FLORIDA,SELVA
10307,AMAZONAS,BONGARA,JAZAN,SELVA
10308,AMAZONAS,BONGARA,RECTA,SELVA
10309,AMAZONAS,BONGARA,SAN CARLOS,SELVA
10310,AMAZONAS,BONGARA,SHIPASBAMBA,SELVA
10311,AMAZONAS,BONGARA,VALERA,SELVA
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA
10401,AMAZONAS,CONDORCANQUI,NIEVA ,SELVA
10401,AMAZONAS,CONDORCANQUI,NIEVA,SELVA
10402,AMAZONAS,CONDORCANQUI,EL CENEPA ,SELVA
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,SELVA
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,SELVA
10501,AMAZONAS,LUYA,LAMUD,SIERRA
10502,AMAZONAS,LUYA,CAMPORREDONDO,SELVA
10503,AMAZONAS,LUYA,COCABAMBA,SELVA
10504,AMAZONAS,LUYA,COLCAMAR,SIERRA
10505,AMAZONAS,LUYA,CONILA,SELVA
