ubigeo,tipo_municipalidad,clasificacion_mef
10101,PROVINCIAL,A
10102,DISTRITAL,F
10103,DISTRITAL,G
10104,DISTRITAL,F
10105,DISTRITAL,G
10106,DISTRITAL,G
10107,DISTRITAL,F
10108,DISTRITAL,E
10109,DISTRITAL,F
10110,DISTRITAL,E
10111,DISTRITAL,F
10112,DISTRITAL,E
10113,DISTRITAL,E
10114,DISTRITAL,G
10115,DISTRITAL,E
10116,DISTRITAL,F
10117,DISTRITAL,G
10118,DISTRITAL,E
10119,DISTRITAL,E
10120,DISTRITAL,G
10121,DISTRITAL,F
10201,PROVINCIAL,A
10202,DISTRITAL,G
10203,DISTRITAL,F
10204,DISTRITAL,F
10205,DISTRITAL,G
10206,DISTRITAL,F
10301,PROVINCIAL,B
10302,DISTRITAL,F
10303,DISTRITAL,E
10304,DISTRITAL,G
10305,DISTRITAL,F
10306,DISTRITAL,F
10307,DISTRITAL,E
10308,DISTRITAL,G
10309,DISTRITAL,E
10310,DISTRITAL,F
10311,DISTRITAL,G
10312,DISTRITAL,F
10401,PROVINCIAL,B
10402,DISTRITAL,G
10403,DISTRITAL,G
10501,PROVINCIAL,B
10502,DISTRITAL,F
10503,DISTRITAL,G
10504,DISTRITAL,F
10505,DISTRITAL,F
10506,DISTRITAL,F
10507,DISTRITAL,G
10508,DISTRITAL,F
10509,DISTRITAL,F
10510,DISTRITAL,E
10511,DISTRITAL,F
10512,DISTRITAL,F
10513,DISTRITAL,G
10514,DISTRITAL,G
10515,DISTRITAL,G
10516,DISTRITAL,E
10517,DISTRITAL,F
10518,DISTRITAL,G
10519,DISTRITAL,G
10520,DISTRITAL,G
10521,DISTRITAL,G
10522,DISTRITAL,F
10523,DISTRITAL,F
10601,PROVINCIAL,B
10602,DISTRITAL,G
10603,DISTRITAL,E
10604,DISTRITAL,G
10605,DISTRITAL,G
10606,DISTRITAL,F
10607,DISTRITAL,F
10608,DISTRITAL,F
10609,DISTRITAL,G
10610,DISTRITAL,G
10611,DISTRITAL,G
10612,DISTRITAL,G
10701,PROVINCIAL,A
10702,DISTRITAL,G
10703,DISTRITAL,F
10704,DISTRITAL,F
10705,DISTRITAL,G
10706,DISTRITAL,F
10707,DISTRITAL,G
20101,PROVINCIAL,A
20102,DISTRITAL,G
20103,DISTRITAL,F
20104,DISTRITAL,G
20105,DISTRITAL,D
20106,DISTRITAL,F
20107,DISTRITAL,G
20108,DISTRITAL,F
20109,DISTRITAL,G
20110,DISTRITAL,G
20111,DISTRITAL,G
20112,DISTRITAL,G
20201,PROVINCIAL,B
20202,DISTRITAL,G
20203,DISTRITAL,F
20204,DISTRITAL,G
20205,DISTRITAL,F
20301,PROVINCIAL,B
20302,DISTRITAL,F
20303,DISTRITAL,G
20304,DISTRITAL,F
20305,DISTRITAL,G
20306,DISTRITAL,G
20401,PROVINCIAL,B
20402,DISTRITAL,G
20501,PROVINCIAL,B
20502,DISTRITAL,E
20503,DISTRITAL,G
20504,DISTRITAL,F
20505,DISTRITAL,F
20506,DISTRITAL,E
20507,DISTRITAL,E
20508,DISTRITAL,E
20509,DISTRITAL,E
20510,DISTRITAL,G
20511,DISTRITAL,E
20512,DISTRITAL,E
20513,DISTRITAL,E
20514,DISTRITAL,E
20515,DISTRITAL,E
20601,PROVINCIAL,B
20602,DISTRITAL,F
20603,DISTRITAL,F
20604,DISTRITAL,G
20605,DISTRITAL,G
20606,DISTRITAL,F
20607,DISTRITAL,F
20608,DISTRITAL,G
20609,DISTRITAL,G
20610,DISTRITAL,F
20611,DISTRITAL,G
20701,PROVINCIAL,B
20702,DISTRITAL,G
20703,DISTRITAL,G
20801,PROVINCIAL,A
20802,DISTRITAL,F
20803,DISTRITAL,E
20804,DISTRITAL,F
20901,PROVINCIAL,B
20902,DISTRITAL,F
20903,DISTRITAL,E
20904,DISTRITAL,F
20905,DISTRITAL,E
20906,DISTRITAL,F
20907,DISTRITAL,E
21001,PROVINCIAL,B
21002,DISTRITAL,G
21003,DISTRITAL,G
21004,DISTRITAL,G
21005,DISTRITAL,F
21006,DISTRITAL,F
21007,DISTRITAL,F
21008,DISTRITAL,F
21009,DISTRITAL,F
21010,DISTRITAL,E
21011,DISTRITAL,G
21012,DISTRITAL,E
21013,DISTRITAL,F
21014,DISTRITAL,G
21015,DISTRITAL,F
21016,DISTRITAL,F
21101,PROVINCIAL,A
21102,DISTRITAL,G
21103,DISTRITAL,F
21104,DISTRITAL,F
21105,DISTRITAL,F
21201,PROVINCIAL,B
21202,DISTRITAL,F
21203,DISTRITAL,G
21204,DISTRITAL,G
21205,DISTRITAL,F
21206,DISTRITAL,G
21207,DISTRITAL,G
21208,DISTRITAL,G
21209,DISTRITAL,G
21210,DISTRITAL,G
21301,PROVINCIAL,B
21302,DISTRITAL,G
21303,DISTRITAL,G
21304,DISTRITAL,G
21305,DISTRITAL,G
21306,DISTRITAL,G
21307,DISTRITAL,G
21308,DISTRITAL,G
21401,PROVINCIAL,B
21402,DISTRITAL,F
21403,DISTRITAL,E
21404,DISTRITAL,E
21405,DISTRITAL,G
21406,DISTRITAL,E
21407,DISTRITAL,E
21408,DISTRITAL,E
21409,DISTRITAL,F
21410,DISTRITAL,E
21501,PROVINCIAL,B
21502,DISTRITAL,G
21503,DISTRITAL,F
21504,DISTRITAL,F
21505,DISTRITAL,F
21506,DISTRITAL,F
21507,DISTRITAL,E
21508,DISTRITAL,F
21509,DISTRITAL,F
21510,DISTRITAL,G
21511,DISTRITAL,F
21601,PROVINCIAL,B
21602,DISTRITAL,G
21603,DISTRITAL,G
21604,DISTRITAL,G
21701,PROVINCIAL,B
21702,DISTRITAL,F
21703,DISTRITAL,E
21704,DISTRITAL,F
21705,DISTRITAL,E
21706,DISTRITAL,E
21707,DISTRITAL,F
21708,DISTRITAL,G
21709,DISTRITAL,F
21710,DISTRITAL,F
21801,PROVINCIAL,A
21802,DISTRITAL,G
21803,DISTRITAL,D
21804,DISTRITAL,G
21805,DISTRITAL,F
21806,DISTRITAL,E
21807,DISTRITAL,E
21808,DISTRITAL,E
21809,DISTRITAL,D
21901,PROVINCIAL,B
21902,DISTRITAL,F
21903,DISTRITAL,F
21904,DISTRITAL,G
21905,DISTRITAL,F
21906,DISTRITAL,G
21907,DISTRITAL,G
21908,DISTRITAL,G
21909,DISTRITAL,G
21910,DISTRITAL,F
22001,PROVINCIAL,B
22002,DISTRITAL,G
22003,DISTRITAL,F
22004,DISTRITAL,G
22005,DISTRITAL,G
22006,DISTRITAL,F
22007,DISTRITAL,G
22008,DISTRITAL,G
30101,PROVINCIAL,A
30102,DISTRITAL,E
30103,DISTRITAL,G
30104,DISTRITAL,F
30105,DISTRITAL,G
30106,DISTRITAL,F
30107,DISTRITAL,G
30108,DISTRITAL,G
30109,DISTRITAL,D
30201,PROVINCIAL,A
30202,DISTRITAL,G
30203,DISTRITAL,F
30204,DISTRITAL,F
30205,DISTRITAL,G
30206,DISTRITAL,F
30207,DISTRITAL,G
30208,DISTRITAL,G
30209,DISTRITAL,G
30210,DISTRITAL,G
30211,DISTRITAL,E
30212,DISTRITAL,F
30213,DISTRITAL,D
30214,DISTRITAL,F
30215,DISTRITAL,F
30216,DISTRITAL,D
30217,DISTRITAL,G
30218,DISTRITAL,G
30219,DISTRITAL,F
30220,DISTRITAL,E
30301,PROVINCIAL,B
30302,DISTRITAL,E
30303,DISTRITAL,F
30304,DISTRITAL,E
30305,DISTRITAL,E
30306,DISTRITAL,E
30307,DISTRITAL,E
30401,PROVINCIAL,B
30402,DISTRITAL,F
30403,DISTRITAL,E
30404,DISTRITAL,F
30405,DISTRITAL,F
30406,DISTRITAL,G
30407,DISTRITAL,G
30408,DISTRITAL,G
30409,DISTRITAL,G
30410,DISTRITAL,F
30411,DISTRITAL,E
30412,DISTRITAL,F
30413,DISTRITAL,G
30414,DISTRITAL,G
30415,DISTRITAL,G
30416,DISTRITAL,G
30417,DISTRITAL,F
30501,PROVINCIAL,B
30502,DISTRITAL,F
30503,DISTRITAL,G
30504,DISTRITAL,F
30505,DISTRITAL,G
30506,DISTRITAL,F
30601,PROVINCIAL,B
30602,DISTRITAL,E
30603,DISTRITAL,G
30604,DISTRITAL,F
30605,DISTRITAL,G
30606,DISTRITAL,G
30607,DISTRITAL,F
30608,DISTRITAL,G
30609,DISTRITAL,G
30610,DISTRITAL,F
30611,DISTRITAL,G
30612,DISTRITAL,G
30701,PROVINCIAL,B
30702,DISTRITAL,G
30703,DISTRITAL,G
30704,DISTRITAL,G
30705,DISTRITAL,F
30706,DISTRITAL,F
30707,DISTRITAL,F
