id,ubigeo,anio,pob_total_inei,pob_urbana_inei,pob_rural_inei,generacion_per_capita_dom,generacion_dom_urbana_tdia,generacion_dom_urbana_tanio,generacion_mun_tanio,generacion_mun_tdia,generacion_per_capita_municipal,ratio_dom_vs_mun_pct
1,10101,2019,37870,37125,745,0.51,18.93,6910.82,9872.6,27.05,0.73,69.9815
2,10101,2020,39051,38221,830,0.51,19.49,7114.84,10164.06,27.85,0.73,69.982
3,10101,2021,39691,38800,891,0.39,15.13,5523.18,7890.26,21.62,0.56,69.9815
4,10101,2022,40274,39322,952,0.39,15.34,5597.49,7996.41,21.91,0.56,70.0137
5,10101,2023,40824,39859,965,0.5,19.93,7274.27,10391.81,28.47,0.71,70.0035
6,10101,2024,41335,40358,977,0.5,20.18,7365.34,10521.91,28.83,0.71,69.9965
7,10102,2019,281,147,134,0.54,0.08,29.05,41.49,0.11,0.77,72.7273
8,10102,2020,278,140,138,0.53,0.07,27.31,39.01,0.11,0.76,63.6364
9,10102,2021,277,135,142,0.51,0.07,25.33,36.19,0.1,0.73,70.0
10,10102,2022,276,132,144,0.52,0.07,25.0,35.71,0.1,0.74,70.0
11,10102,2023,273,131,142,0.53,0.07,25.5,36.43,0.1,0.76,70.0
12,10102,2024,271,130,141,0.53,0.07,25.15,35.93,0.1,0.76,70.0
13,10103,2019,1202,336,866,0.44,0.15,53.68,76.68,0.21,0.63,71.4286
14,10103,2020,1180,311,869,0.44,0.14,49.58,70.83,0.19,0.62,73.6842
15,10103,2021,1169,296,873,0.44,0.13,47.54,67.91,0.19,0.63,68.4211
16,10103,2022,1158,281,877,0.45,0.13,45.67,65.24,0.18,0.64,72.2222
17,10103,2023,1147,278,869,0.44,0.12,44.95,64.22,0.18,0.63,66.6667
18,10103,2024,1137,276,861,0.45,0.12,45.33,64.76,0.18,0.64,66.6667
19,10104,2019,696,467,229,0.44,0.2,74.6,106.58,0.29,0.63,68.9655
20,10104,2020,702,459,243,0.44,0.2,73.18,104.54,0.29,0.62,68.9655
21,10104,2021,705,452,253,0.44,0.2,72.59,103.7,0.28,0.63,71.4286
22,10104,2022,707,444,263,0.45,0.2,72.16,103.09,0.28,0.64,71.4286
23,10104,2023,709,445,264,0.44,0.2,71.96,102.8,0.28,0.63,71.4286
24,10104,2024,713,448,265,0.45,0.2,73.58,105.12,0.29,0.64,68.9655
25,10105,2019,604,178,426,0.44,0.08,28.44,40.62,0.11,0.63,72.7273
26,10105,2020,589,164,425,0.44,0.07,26.15,37.35,0.1,0.62,70.0
27,10105,2021,581,156,425,0.44,0.07,25.05,35.79,0.1,0.63,70.0
28,10105,2022,575,148,427,0.45,0.07,24.05,34.36,0.09,0.64,77.7778
29,10105,2023,568,146,422,0.44,0.06,23.61,33.73,0.09,0.63,66.6667
30,10105,2024,561,144,417,0.45,0.06,23.65,33.79,0.09,0.64,66.6667
31,10106,2019,1955,521,1434,0.44,0.23,83.23,118.9,0.33,0.63,69.697
32,10106,2020,1933,486,1447,0.44,0.21,77.48,110.69,0.3,0.62,70.0
33,10106,2021,1922,464,1458,0.44,0.2,74.52,106.45,0.29,0.63,68.9655
34,10106,2022,1910,443,1467,0.45,0.2,72.0,102.86,0.28,0.64,71.4286
35,10106,2023,1898,440,1458,0.44,0.19,71.15,101.65,0.28,0.63,67.8571
36,10106,2024,1884,437,1447,0.45,0.2,71.78,102.54,0.28,0.64,71.4286
37,10107,2019,532,183,349,0.54,0.1,36.16,51.66,0.14,0.77,71.4286
38,10107,2020,539,176,363,0.53,0.09,34.33,49.04,0.13,0.76,69.2308
39,10107,2021,541,170,371,0.51,0.09,31.9,45.58,0.12,0.73,75.0
40,10107,2022,543,164,379,0.52,0.09,31.06,44.37,0.12,0.74,75.0
41,10107,2023,544,164,380,0.53,0.09,31.92,45.61,0.12,0.76,75.0
42,10107,2024,549,166,383,0.53,0.09,32.11,45.88,0.13,0.76,69.2308
43,10108,2019,1395,1338,57,0.48,0.65,236.34,337.63,0.93,0.69,69.8925
44,10108,2020,1456,1392,64,0.48,0.67,245.88,351.26,0.96,0.69,69.7917
45,10108,2021,1481,1413,68,0.48,0.68,249.59,356.55,0.98,0.69,69.3878
46,10108,2022,1500,1428,72,0.48,0.69,252.24,360.34,0.99,0.69,69.697
47,10108,2023,1515,1442,73,0.48,0.7,254.71,363.87,1.0,0.69,70.0
48,10108,2024,1526,1453,73,0.45,0.65,238.66,340.94,0.93,0.64,69.8925
49,10109,2019,4080,2312,1768,0.54,1.25,456.84,652.63,1.79,0.77,69.8324
50,10109,2020,3966,2169,1797,0.53,1.16,423.08,604.39,1.66,0.76,69.8795
51,10109,2021,3834,2045,1789,0.51,1.05,383.78,548.25,1.5,0.73,70.0
52,10109,2022,3697,1922,1775,0.52,1.0,363.99,519.98,1.42,0.74,70.4225
53,10109,2023,3558,1850,1708,0.53,0.99,360.12,514.46,1.41,0.76,70.2128
54,10109,2024,3418,1777,1641,0.53,0.94,343.76,491.09,1.35,0.76,69.6296
55,10110,2019,3845,2859,986,0.68,1.94,709.6,1013.72,2.78,0.97,69.7842
56,10110,2020,3815,2778,1037,0.27,0.75,273.77,391.1,1.07,0.39,70.0935
57,10110,2021,3799,2726,1073,0.27,0.74,268.65,383.78,1.05,0.39,70.4762
58,10110,2022,3781,2672,1109,0.27,0.72,263.33,376.18,1.03,0.39,69.9029
59,10110,2023,3759,2656,1103,0.27,0.72,261.75,373.93,1.02,0.39,70.5882
60,10110,2024,3738,2642,1096,0.27,0.71,260.37,371.96,1.02,0.39,69.6078
61,10111,2019,817,449,368,0.44,0.2,71.73,102.47,0.28,0.63,71.4286
62,10111,2020,803,426,377,0.44,0.19,67.92,97.03,0.27,0.62,70.3704
63,10111,2021,796,411,385,0.44,0.18,66.01,94.3,0.26,0.63,69.2308
64,10111,2022,789,397,392,0.45,0.18,64.53,92.18,0.25,0.64,72.0
65,10111,2023,781,393,388,0.44,0.17,63.55,90.79,0.25,0.63,68.0
66,10111,2024,774,389,385,0.45,0.18,63.89,91.28,0.25,0.64,72.0
67,10112,2019,913,731,182,0.54,0.4,144.44,206.34,0.57,0.77,70.1754
68,10112,2020,911,717,194,0.53,0.38,139.86,199.79,0.55,0.76,69.0909
69,10112,2021,910,709,201,0.51,0.36,133.06,190.08,0.52,0.73,69.2308
70,10112,2022,906,697,209,0.52,0.36,132.0,188.57,0.52,0.74,69.2308
71,10112,2023,903,695,208,0.38,0.26,96.4,137.71,0.38,0.54,68.4211
72,10112,2024,900,692,208,0.38,0.26,95.98,137.11,0.38,0.54,68.4211
73,10113,2019,1507,1036,471,0.48,0.49,179.85,256.93,0.7,0.68,70.0
74,10113,2020,1534,1028,506,0.48,0.49,178.46,254.95,0.7,0.68,70.0
75,10113,2021,1561,1029,532,0.48,0.49,178.64,255.19,0.7,0.68,70.0
76,10113,2022,1586,1025,561,0.48,0.49,177.94,254.2,0.7,0.68,70.0
77,10113,2023,1609,1040,569,0.48,0.49,180.55,257.92,0.71,0.68,69.0141
78,10113,2024,1631,1054,577,0.53,0.56,203.9,291.28,0.8,0.76,70.0
79,10114,2019,2296,631,1665,0.44,0.28,100.8,144.0,0.39,0.63,71.7949
80,10114,2020,2266,588,1678,0.44,0.26,93.75,133.92,0.37,0.62,70.2703
81,10114,2021,2251,561,1690,0.44,0.25,90.1,128.71,0.35,0.63,71.4286
82,10114,2022,2235,535,1700,0.45,0.24,86.95,124.22,0.34,0.64,70.5882
83,10114,2023,2218,531,1687,0.44,0.24,85.87,122.67,0.34,0.63,70.5882
84,10114,2024,2201,527,1674,0.45,0.24,86.56,123.66,0.34,0.64,70.5882
85,10115,2019,503,461,42,0.45,0.21,75.01,107.16,0.29,0.64,72.4138
86,10115,2020,487,443,44,0.45,0.2,72.09,102.98,0.28,0.64,71.4286
87,10115,2021,479,434,45,0.45,0.19,70.62,100.89,0.28,0.64,67.8571
88,10115,2022,472,426,46,0.45,0.19,69.32,99.03,0.27,0.64,70.3704
89,10115,2023,465,420,45,0.47,0.2,72.05,102.93,0.28,0.67,71.4286
90,10115,2024,459,414,45,0.47,0.19,71.02,101.46,0.28,0.67,67.8571
91,10116,2019,429,141,288,0.54,0.08,27.86,39.8,0.11,0.77,72.7273
92,10116,2020,435,136,299,0.53,0.07,26.53,37.9,0.1,0.76,70.0
93,10116,2021,438,131,307,0.51,0.07,24.58,35.12,0.1,0.73,70.0
94,10116,2022,441,127,314,0.52,0.07,24.05,34.36,0.09,0.74,77.7778
95,10116,2023,444,128,316,0.53,0.07,24.92,35.6,0.1,0.76,70.0
96,10116,2024,446,128,318,0.53,0.07,24.76,35.37,0.1,0.76,70.0
97,10117,2019,807,95,712,0.54,0.05,18.77,26.82,0.07,0.77,71.4286
98,10117,2020,792,87,705,0.53,0.05,16.97,24.24,0.07,0.76,71.4286
99,10117,2021,785,82,703,0.51,0.04,15.39,21.98,0.06,0.73,66.6667
100,10117,2022,778,77,701,0.52,0.04,14.58,20.83,0.06,0.74,66.6667
101,10117,2023,770,76,694,0.53,0.04,14.79,21.13,0.06,0.76,66.6667
102,10117,2024,763,76,687,0.53,0.04,14.7,21.0,0.06,0.76,66.6667
103,10118,2019,323,238,85,0.41,0.1,35.62,50.88,0.14,0.59,71.4286
104,10118,2020,323,233,90,0.41,0.1,34.87,49.81,0.14,0.59,71.4286
105,10118,2021,325,231,94,0.41,0.09,34.57,49.38,0.14,0.59,64.2857
106,10118,2022,326,227,99,0.41,0.09,33.97,48.53,0.13,0.59,69.2308
107,10118,2023,327,228,99,0.41,0.09,34.12,48.74,0.13,0.59,69.2308
108,10118,2024,332,231,101,0.41,0.09,34.57,49.38,0.14,0.59,64.2857
109,10119,2019,599,429,170,0.54,0.23,84.77,121.1,0.33,0.77,69.697
110,10119,2020,590,413,177,0.53,0.22,80.56,115.08,0.32,0.76,68.75
111,10119,2021,585,402,183,0.4,0.16,58.69,83.85,0.23,0.57,69.5652
112,10119,2022,581,392,189,0.4,0.16,57.23,81.76,0.22,0.57,72.7273
113,10119,2023,576,389,187,0.4,0.16,56.79,81.13,0.22,0.57,72.7273
114,10119,2024,570,385,185,0.4,0.15,56.21,80.3,0.22,0.57,68.1818
115,10120,2019,1279,217,1062,0.54,0.12,42.88,61.25,0.17,0.77,70.5882
116,10120,2020,1261,200,1061,0.53,0.11,39.01,55.73,0.15,0.76,73.3333
117,10120,2021,1252,190,1062,0.51,0.1,35.66,50.94,0.14,0.73,71.4286
118,10120,2022,1243,180,1063,0.52,0.09,34.09,48.7,0.13,0.74,69.2308
119,10120,2023,1234,179,1055,0.53,0.1,34.84,49.78,0.14,0.76,71.4286
