id,ubigeo,anio,tipo_residuo,pob_total,pob_urbana,pob_rural,qresiduos_mun,qresiduos_valorizado,tasa_valorizacion_pct
1,10101,2019,INORGANICO,37870,37125,745,9872.6,131.75,1.3345
2,10101,2019,ORGANICO,37870,37125,745,9872.6,140.55,1.4236
3,10101,2020,INORGANICO,39051,38221,830,10164.06,44.634,0.4391
4,10101,2020,ORGANICO,39051,38221,830,10164.06,332.37,3.2701
5,10101,2021,INORGANICO,39691,38800,891,7890.26,106.872,1.3545
6,10101,2021,ORGANICO,39691,38800,891,7890.26,702.6800000000001,8.9057
7,10101,2022,INORGANICO,40274,39322,952,7996.41,128.31,1.6046
8,10101,2022,ORGANICO,40274,39322,952,7996.41,984.32,12.3095
9,10101,2023,INORGANICO,40824,39859,965,10391.81,34.55,0.3325
10,10101,2023,ORGANICO,40824,39859,965,10391.81,703.0,6.7649
11,10101,2024,INORGANICO,41335,40358,977,10521.91,132.32,1.2576
12,10101,2024,ORGANICO,41335,40358,977,10521.90714,1268.0,12.051
13,10102,2019,INORGANICO,281,147,134,41.49,0.0,0.0
14,10102,2019,ORGANICO,281,147,134,41.49,0.0,0.0
15,10102,2020,INORGANICO,278,140,138,39.01,0.0,0.0
16,10102,2020,ORGANICO,278,140,138,39.01,0.0,0.0
17,10102,2021,INORGANICO,277,135,142,36.19,0.0,0.0
18,10102,2021,ORGANICO,277,135,142,36.19,0.0,0.0
19,10102,2022,INORGANICO,276,132,144,35.71,0.0,0.0
20,10102,2022,ORGANICO,276,132,144,35.71,0.0,0.0
21,10102,2023,INORGANICO,273,131,142,36.43,0.0,0.0
22,10102,2023,ORGANICO,273,131,142,36.43,0.0,0.0
23,10102,2024,INORGANICO,271,130,141,35.93,0.0,0.0
24,10102,2024,ORGANICO,271,130,141,35.92642857,0.0,0.0
25,10103,2019,INORGANICO,1202,336,866,76.68,0.0,0.0
26,10103,2019,ORGANICO,1202,336,866,76.68,0.0,0.0
27,10103,2020,INORGANICO,1180,311,869,70.83,0.0,0.0
28,10103,2020,ORGANICO,1180,311,869,70.83,0.0,0.0
29,10103,2021,INORGANICO,1169,296,873,67.91,0.0,0.0
30,10103,2021,ORGANICO,1169,296,873,67.91,0.0,0.0
31,10103,2022,INORGANICO,1158,281,877,65.24,0.0,0.0
32,10103,2022,ORGANICO,1158,281,877,65.24,0.0,0.0
33,10103,2023,INORGANICO,1147,278,869,64.22,0.0,0.0
34,10103,2023,ORGANICO,1147,278,869,64.22,0.0,0.0
35,10103,2024,INORGANICO,1137,276,861,64.76,0.0,0.0
36,10103,2024,ORGANICO,1137,276,861,64.76142857,0.0,0.0
37,10104,2019,INORGANICO,696,467,229,106.58,0.0,0.0
38,10104,2019,ORGANICO,696,467,229,106.58,0.0,0.0
39,10104,2020,INORGANICO,702,459,243,104.54,0.0,0.0
40,10104,2020,ORGANICO,702,459,243,104.54,0.0,0.0
41,10104,2021,INORGANICO,705,452,253,103.7,0.0,0.0
42,10104,2021,ORGANICO,705,452,253,103.7,0.0,0.0
43,10104,2022,INORGANICO,707,444,263,103.09,0.0,0.0
44,10104,2022,ORGANICO,707,444,263,103.09,0.0,0.0
45,10104,2023,INORGANICO,709,445,264,102.8,0.0,0.0
46,10104,2023,ORGANICO,709,445,264,102.8,0.0,0.0
47,10104,2024,INORGANICO,713,448,265,105.12,0.0,0.0
48,10104,2024,ORGANICO,713,448,265,105.12,0.0,0.0
49,10105,2019,INORGANICO,604,178,426,40.62,0.0,0.0
50,10105,2019,ORGANICO,604,178,426,40.62,0.0,0.0
51,10105,2020,INORGANICO,589,164,425,37.35,0.0,0.0
52,10105,2020,ORGANICO,589,164,425,37.35,0.0,0.0
53,10105,2021,INORGANICO,581,156,425,35.79,0.0,0.0
54,10105,2021,ORGANICO,581,156,425,35.79,0.0,0.0
55,10105,2022,INORGANICO,575,148,427,34.36,0.0,0.0
56,10105,2022,ORGANICO,575,148,427,34.36,0.0,0.0
57,10105,2023,INORGANICO,568,146,422,33.73,0.0,0.0
58,10105,2023,ORGANICO,568,146,422,33.73,0.0,0.0
59,10105,2024,INORGANICO,561,144,417,33.79,0.0,0.0
60,10105,2024,ORGANICO,561,144,417,33.78857143,0.0,0.0
61,10106,2019,INORGANICO,1955,521,1434,118.9,0.0,0.0
62,10106,2019,ORGANICO,1955,521,1434,118.9,0.0,0.0
63,10106,2020,INORGANICO,1933,486,1447,110.69,0.0,0.0
64,10106,2020,ORGANICO,1933,486,1447,110.69,0.0,0.0
65,10106,2021,INORGANICO,1922,464,1458,106.45,0.0,0.0
66,10106,2021,ORGANICO,1922,464,1458,106.45,0.0,0.0
67,10106,2022,INORGANICO,1910,443,1467,102.86,0.0,0.0
68,10106,2022,ORGANICO,1910,443,1467,102.86,0.0,0.0
69,10106,2023,INORGANICO,1898,440,1458,101.65,0.0,0.0
70,10106,2023,ORGANICO,1898,440,1458,101.65,0.0,0.0
71,10106,2024,INORGANICO,1884,437,1447,102.54,0.0,0.0
72,10106,2024,ORGANICO,1884,437,1447,102.5389286,0.0,0.0
73,10107,2019,INORGANICO,532,183,349,51.66,0.0,0.0
74,10107,2019,ORGANICO,532,183,349,51.66,0.0,0.0
75,10107,2020,INORGANICO,539,176,363,49.04,0.0,0.0
76,10107,2020,ORGANICO,539,176,363,49.04,0.0,0.0
77,10107,2021,INORGANICO,541,170,371,45.58,0.0,0.0
78,10107,2021,ORGANICO,541,170,371,45.58,0.0,0.0
79,10107,2022,INORGANICO,543,164,379,44.37,0.0,0.0
80,10107,2022,ORGANICO,543,164,379,44.37,0.0,0.0
81,10107,2023,INORGANICO,544,164,380,45.61,0.0,0.0
82,10107,2023,ORGANICO,544,164,380,45.61,0.0,0.0
83,10107,2024,INORGANICO,549,166,383,45.88,0.0,0.0
84,10107,2024,ORGANICO,549,166,383,45.87528571,0.0,0.0
85,10108,2019,INORGANICO,1395,1338,57,337.63,0.0,0.0
