FECHA_CORTE;UBIGEO;ANIO;DEPARTAMENTO;PROVINCIA;DISTRITO;REGION_NATURAL;TIPO_MUNICIPALIDAD;POB_TOTAL_INEI;POB_URBANA_INEI;POB_RURAL_INEI;CLASIFICACION_MUNICIPAL_MEF;GENERACION_PER_CAPITA_DOM;GENERACION_DOM_URBANA_TDIA;GENERACION_DOM URBANA_TANIO;GENERACION_MUN_TANIO;GENERACION_MUN_TDIA;GENERACION_PER_CAPITA_MUNICIPAL
18122025;10101;2024;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SELVA;PROVINCIAL;41335;40358;977;A;0.50;20.18;7365.34;10521.91;28.83;0.71
18122025;10102;2024;AMAZONAS;CHACHAPOYAS;ASUNCION;SELVA;DISTRITAL;271;130;141;F;0.53;0.07;25.15;35.93;0.10;0.76
18122025;10103;2024;AMAZONAS;CHACHAPOYAS;BALSAS;SIERRA;DISTRITAL;1137;276;861;G;0.45;0.12;45.33;64.76;0.18;0.64
18122025;10104;2024;AMAZONAS;CHACHAPOYAS;CHETO;SIERRA;DISTRITAL;713;448;265;F;0.45;0.20;73.58;105.12;0.29;0.64
18122025;10105;2024;AMAZONAS;CHACHAPOYAS;CHILIQUIN;SIERRA;DISTRITAL;561;144;417;G;0.45;0.06;23.65;33.79;0.09;0.64
18122025;10106;2024;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;SIERRA;DISTRITAL;1884;437;1447;G;0.45;0.20;71.78;102.54;0.28;0.64
18122025;10107;2024;AMAZONAS;CHACHAPOYAS;GRANADA;SELVA;DISTRITAL;549;166;383;F;0.53;0.09;32.11;45.88;0.13;0.76
18122025;10108;2024;AMAZONAS;CHACHAPOYAS;HUANCAS;SIERRA;DISTRITAL;1526;1453;73;E;0.45;0.65;238.66;340.94;0.93;0.64
18122025;10109;2024;AMAZONAS;CHACHAPOYAS;LA JALCA;SELVA;DISTRITAL;3418;1777;1641;F;0.53;0.94;343.76;491.09;1.35;0.76
18122025;10110;2024;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;SELVA;DISTRITAL;3738;2642;1096;E;0.27;0.71;260.37;371.96;1.02;0.39
